Event_name,Event_type,Event_dates,Event_start_times,Event_time_zone,Venues,City,States,Address,Latitude,Longitude,Additional_info,Ticket_limits,Age_restrictions,Parking,Accesibility,Last_Purchase_Date
Good Kid - This Can't Be The End Tour,Pop,2024-05-10,19:00:00,America/Toronto,The Danforth Music Hall,Toronto,Ontario,147 Danforth Ave.,43.6764492,-79.3571014,"All Ages Event Doors - 7:00pm The Floor is General Admission (Standing, NO SEATS), Reserved Seats are in the Mezzanine/Balcony Net capacity:1480",There is an overall 8 ticket limit for this event.,False,Green P just north of Danforth on Broadview and Loblaws just south on Broadview.,"For accessible seating, please contact the venue.",2024-05-10 21:00:00
Prateek Kuhad,Other,2024-05-10,19:00:00,America/Edmonton,MacEwan Hall,Calgary,Alberta,2500 University Dr Nw,0.0,0.0,nan,No ticket limit information available,False,nan,nan,2024-05-10 19:00:00
Monster Energy Presents: SkiiTour,Dance/Electronic,2024-05-10,20:00:00,America/Edmonton,The Palace Theatre,Calgary,Alberta,219 8th Avenue SW,51.045402,-114.066423,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 16:00:00
BRAVE & CRAZY,Rock,2024-05-10,20:30:00,America/Toronto,Spot 1 Grill & Music Hall,Brampton,Ontario,289 Rutherford Road South,43.68571,-79.72521,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. Holder of this ticket voluntarily assumes all risks and danger incidental to any event for which this ticket is issued and waives all claims against the event sponsor, the owner of the facility, the ticket producer or issuer. Admission is subject to compliance with all laws and facility rules and the ticket holder consents to reasonable examinations and searches to ensure compliance. Failure to comply with the law or facility rules may result in refusal of admission or expulsion. No unauthorized recording of event where prohibited.",No ticket limit information available,True,nan,nan,2024-05-10 20:30:00
24KGOLDN - Growing Pains Tour,Hip-Hop/Rap,2024-05-10,19:30:00,America/Vancouver,Fortune Sound Club,Vancouver,British Columbia,147 E Pender Street,49.280528,-123.100751,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 18:30:00
"Slick Rick, Checkmate & Concise and DJs Flipout & Jay Swing",Hip-Hop/Rap,2024-05-10,21:00:00,America/Vancouver,Hollywood Theatre,Vancouver,British Columbia,3123 W Broadway,49.26444,-123.17456,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 19:30:00
Manitoba Metal Fest Day 1 w/ Three Inches of Blood,Alternative,2024-05-10,19:00:00,America/Winnipeg,The Park Theatre,Winnipeg,Manitoba,698 Osborne Street,49.86225,-97.13167,nan,No ticket limit information available,False,nan,nan,2024-05-10 19:00:00
Manitoba Metal Fest THREE DAY PASS,Alternative,2024-05-10,19:30:00,America/Winnipeg,The Park Theatre,Winnipeg,Manitoba,698 Osborne Street,49.86225,-97.13167,nan,No ticket limit information available,False,nan,nan,2024-05-10 19:30:00
ULI JON ROTH -  INTERSTELLAR SKY GUITAR,Metal,2024-05-10,19:30:00,America/Toronto,Lee's Palace,Toronto,Ontario,529 Bloor Street West,43.665249,-79.409447,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 20:00:00
Frail Body & Spring Colors at Supermarket,Alternative,2024-05-10,19:00:00,America/Toronto,Supermarket,Toronto,Ontario,268 Augusta Ave,43.65658,-79.40323,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 19:00:00
Clay and Friends with YASSIN & Sean Terrio and Sunshine Makers,Alternative,2024-05-10,19:30:00,America/Toronto,Drake Underground,Toronto,Ontario,1150 Queen St. West,43.64329,-79.42463,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. By clicking 'Agree and Check Out'., you agree that Modo Live or one of its partners may contact you from time to time via email or SMS with relevant marketing materials and offers. You may unsubscribe at any time.",No ticket limit information available,True,nan,nan,2024-05-10 19:30:00
"Wheatus w/ Medical Pilot, Chilio, and The Galacticas * Followed by Emo Night Calgary",Rock,2024-05-10,17:00:00,America/Edmonton,Modern Love,Calgary,Alberta,613 11 Ave SW,51.042412,-114.075012,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 17:00:00
Scenic Route To Alaska w/ Special Guests,Country,2024-05-10,20:00:00,America/Edmonton,The Starlite Room,Edmonton,Alberta,10030 – 102 Street,53.546218,-113.490371,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 20:00:00
Evangelia w/ Ioanna,Pop,2024-05-10,19:30:00,America/Toronto,The Cave ,Toronto,Ontario,529 Bloor Street West,43.665244,-79.409452,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. By clicking 'Agree and Check Out'., you agree that Modo Live or one of its partners may contact you from time to time via email or SMS with relevant marketing materials and offers. You may unsubscribe at any time.",No ticket limit information available,True,nan,nan,2024-05-10 19:30:00
Single Mothers with The Anti-Queens,Rock,2024-05-10,20:00:00,America/Toronto,Biltmore Theatre,Oshawa,Ontario,39 King St. East,43.89767,-78.86197,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund. By clicking 'Agree and Check Out'., you agree that Modo Live or one of its partners may contact you from time to time via email or SMS with relevant marketing materials and offers. You may unsubscribe at any time.",No ticket limit information available,True,nan,nan,2024-05-10 20:00:00
Ahmed Spins,Dance/Electronic,2024-05-10,22:00:00,America/Toronto,CODA,Toronto,Ontario,794 Bathurst Street,43.665374,-79.41154,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-05-10 22:00:00
Prisma Now - Light Up The World,Children's Music,2024-05-11,19:00:00,America/Edmonton,Southern Alberta Jubilee Auditorium,Calgary,Alberta,1415 14 Ave. NW,51.063097,-114.092031,"**VENUE POLICY** Each person, including children and infants in arms, must have a ticket. In order to ensure that all patrons have an enjoyable experience, it is recommended that you allow extra time to park and get to your seats before the performance is scheduled to begin.",No ticket limit information available,False,There is parking available for a charge of $7.00.,"Accessible Seating: The Jubilee Auditorium is fully wheelchair accessible with ramps available at the North doors and Main (West) entrance of the Jubilee. Wheelchair seating is ticketed and priced in accordance with each separate performance. Please be sure to specifically request a wheelchair space when calling the box office to purchase tickets. Wheelchair patrons and one guest have the opportunity to purchase seating at the normal charge for an event and occupy seats together at a number of locations throughout the orchestra level, first balcony and in the pit seating. Since wheelchair spaces are limited, additional group members are not guaranteed seating near the wheelchair patron but we will make an effort to accommodate groups if availability allows it. In order to ensure that our patrons are comfortably seated, we recommend that you allow extra time to park and get to your seats before the performance is scheduled to begin. Accessible parking is located at the North doors of the building or wheelchair patrons may be dropped off at the North or Main (West) entrance ramps. The Auditorium does not provide wheelchairs to its patrons.",2024-05-11 20:00:00
Per Aspera Ad Astra,Classical,2024-05-11,20:00:00,America/Toronto,Meridian Arts Centre: George Weston,Toronto,Ontario,5040 Yonge Street,43.7661379,-79.4142505,"Accessible tickets and phone/email help: 1-800-708-6754 | boxoffice@tolive.com. All patrons require a ticket of admission. To view our babies-in-arms policy and other venue details, click here. Please be aware that by entering a TO Live venue, you assume all risks, hazards, and dangers arising from or relating in any way to the risk of contracting COVID-19 or any other communicable disease or illness, and that TO Live and the Meridian Arts Centre shall not be held responsible or liable for any claims relating to such risks, hazards, and dangers. --- Net Event Capacity: 998",No ticket limit information available,False,"Public parking is available at nearby lots, and limited metered street parking is available on surrounding streets. For more information, please visit www.meridianartscentre.com/parking-and-ttc. Limited onsite parking is available for patrons with Accessible Needs, and must be arranged in advanced by calling 416-733-9388 ext. 6900.","Accessible Seating is available in designated areas. For assistance booking accessible seats, please contact the TO Live Box Office: Telephone Number(s): 416-366-7723 | 1-800-708-6754 Service Hours: Monday to Friday 1pm to 6pm",2024-05-11 20:00:00
Craig David - 7 Days Commitment Tour 2024,R&B,2024-05-11,19:00:00,America/Toronto,History,Toronto,Ontario,1663 Queen St. East,43.66684147,-79.31351149,"Net Capacity: 2,500",There is an overall 8 ticket limit for this event.,False,nan,nan,2024-05-11 21:00:00
Thornley,Rock,2024-05-11,19:00:00,America/Toronto,The Danforth Music Hall,Toronto,Ontario,147 Danforth Ave.,43.6764492,-79.3571014,"19+ Event/Valid Photo ID Required Doors - 7:00pm The Floor is General Admission (Standing, NO SEATS), Reserved Seats are in the Mezzanine/Balcony Net capacity:1480",There is an overall 8 ticket limit for this event.,False,Green P just north of Danforth on Broadview and Loblaws just south on Broadview.,"For accessible seating, please contact the venue.",2024-05-11 21:00:00
FRENSHIP,Pop,2024-05-11,19:00:00,America/Vancouver,Fortune Sound Club,Vancouver,British Columbia,147 East Pender Street,49.2805197,-123.1007382,nan,No ticket limit information available,False,nan,nan,2024-05-11 19:00:00
"Devan, Charlie Houston",Pop,2024-05-11,18:30:00,America/Toronto,The Drake Hotel,Toronto,Ontario,1150 Queen Street West,43.6431078,-79.4246457,nan,No ticket limit information available,False,nan,nan,2024-05-11 18:15:00
Vision Diversite presente Mamselle Ruiz,Jazz,2024-05-11,20:00:00,America/Toronto,Le Studio TD,Montreal,Quebec,"305, rue Ste-Catherine Ouest",45.5064109,-73.5668615,"En achetant des billets pour cet événement, vous acceptez de respecter les mesures de santé et de sécurité en vigueur lors de l'événement, qui peuvent inclure, notamment, le port du masque. Notez que ces règlements s'appliquent à tous les utilisateurs de billets. Directives sujettes à changement. Vérifiez régulièrement le site de la salle de votre événement. By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event, which may include, but not be limited to, wearing masks. Please note these measures will apply to all users of tickets. Guidelines are subject to change. Check your venue's website often for updates.",Il y a une limite de 6 billets pour cet événement - There is a 6 ticket limit on this event.,False,"Stationnement: Les automobilistes trouveront de nombreuses places de stationnement payant dans les rues avoisinant Le Studio TD ainsi qu'au Complexe Desjardins et à la Place des Arts. Parking Info: Drivers will find meter parking in the streets surrounding Le Studio TD, as well as near Complexe Desjardins and Place des Arts.","Accessible tickets are for patrons in wheelchair and their companion (1) only. To purchase wheelchair tickets, please contact our box office at 1-855-219-0576 or 1-877-668-8269.",2024-05-11 22:00:00
Devan,Pop,2024-05-11,22:00:00,America/Toronto,The Drake Hotel,Toronto,Ontario,1150 Queen Street West,43.6431078,-79.4246457,nan,No ticket limit information available,False,nan,nan,2024-05-11 22:00:00
D.O.A.,Rock,2024-05-11,19:00:00,America/Vancouver,Commodore Ballroom,Vancouver,British Columbia,868 Granville St.,49.2806462,-123.1208652,No Minors! Must be 19 & older with valid government ID to attend.,There is an overall 8 ticket limit for this event.,False,Limited street parking in the area. Pay lots are located behind the club on Seymour Street.,Accessible Seating: The Commodore Ballroom is fully wheelchair accessible. Wheelchair entrance is located at the main door. Hearing Devices: None.,2024-05-11 22:00:00
Long Live the King: The Ultimate tribute to Elvis starring Robin Kelly,Rock,2024-05-11,20:00:00,America/Edmonton,Century Casino,Edmonton,Alberta,13103 Fort Road,53.5903674,-113.4331386,"Show Doors at 7:00pm / Show starts at 8:00 pm. No opening act. Tables 111 - 115 are tall cocktail tables with 2 seats per table. 18 + Venue, no minors allowed. To Book VIP Suite please call Guest Services Box office at 780.643.4000. VIP Suite is a minimum 8 ticket purchase to a maximum 12 tickets and includes table service and a private washroom. All ticket purchases are final. No exchanges or refunds.",No ticket limit information available,True,FREE Heated Underground Parking and FREE above ground parking.,"Tables 47, 57 and 10 are all Wheelchair Accessable tables, Venue is equipped with a wheelchair ramp and elevators leading to the venue with access to the washrooms inside Entertainement Venue.",2024-05-11 21:00:00
Stephen Carey: Nashville Hits the Roof!,Country,2024-05-11,20:00:00,America/Winnipeg,Sidelines Bar & Grill,Coaldale,Alberta,913 19A Avenue,49.731215,-112.602547,nan,No ticket limit information available,False,nan,nan,2024-05-11 20:00:00
Playhouse Presents: Arty,Dance/Electronic,2024-05-11,22:00:00,America/Vancouver,Celebrities,Vancouver,British Columbia,"1022 Davie Street, Vancouver, BC V6E 1M3",49.279672,-123.130293,nan,No ticket limit information available,False,nan,nan,2024-05-11 22:00:00
Amon Amarth - Metal Crushes All Tour,Metal,2024-05-11,18:30:00,America/Toronto,Centre Videotron,Quebec,Quebec,250 boulevard Wilfrid-Hamel,46.824958,-71.24762,"Délai de livraison des billets jusqu'à 72h avant l'événement./ Delivery delay of tickets until 72h prior to the event. Le Centre Videotron est maintenant un environnement de transactions uniquement numériques. Veuillez prévoir l'utilisation de cartes Visa, MC, AMEX ou débit. Videotron Centre is now a cashless environment, plan on using Visa, MC, AMEX or debit.",There is an overall 8 ticket limit for this event.,False,"4,755 parking spaces are available to visitors.",nan,2024-05-11 20:30:00
Queens of Country Volume 2,Country,2024-05-11,19:00:00,America/Halifax,Molson Canadian Centre at Casino New/Nouveau Brunswick,Moncton,New Brunswick,21 Casino Drive,46.127985,-64.879786,"When selecting seats in the front row the artist(s) MAY ask or choose to invite the audience to the front of the stage. Note that should this happen, your view may be obstructed, and no refunds will be issued.Seats 1-6 located in rows AA or BB of Section B2 and B3 are behind the sound booth and MAY result in obstructed view. Veuillez noter, lorsque vous choisissez un siege dans les premiers rangs, que l'artiste peut demander ou choisir d'inviter le public sur le devant de la scène. Dans ce cas, votre vue peut être obstruée et aucun remboursement ne sera effectué. Les sièges 1 à 6 situés dans les rangées AA ou BB des sections B2 et B3 sont derrière la cabine de son et PEUVENT obstruer la vue",No ticket limit information available,False,Complimentary parking is available.,Full room offers 5 accessible seats + 5 attendant seats on riser / 1/2 room offers 4 accessible seats + 4 attendant seats on the floor,2024-05-11 21:00:00
Rabah Asma arrive à Montréal !,World,2024-05-11,20:00:00,America/Toronto,L'Olympia,Montreal,Quebec,1004 Sainte-Catherine Street East,45.51701,-73.556874,nan,No ticket limit information available,False,nan,"For wheelchair accessible seating, please communicate directly with L'Olympia.",2024-05-11 22:00:00
Souviens-toi Joe,Chanson Francaise,2024-05-11,20:30:00,America/Toronto,Théâtre Capitole,Quebec,Quebec,972 Rue Saint-Jean ,46.813254,-71.2142151,Les emplacements réservés pour personnes à mobilité réduite sont disponibles en communiquant avec la billetterie du Théâtre Capitole au 418-694-4444. Accessible seatings are available by contacting Théâtre Capitole's Box office at 418-694-4444.,Il y a une limite globale de 8 billets pour cet événement. There is a global limit of 8 tickets for this event.,False,nan,nan,2024-05-11 22:30:00
Alexandre Poulin,Chanson Francaise,2024-05-11,20:00:00,America/Toronto,Le Club Square Dix30,Brossard,Quebec,9200 Boulevard Leduc,45.445444,-73.438116,nan,There is an overall 8 ticket limit for this event.,False,Stationnement STATIONNEMENT GRATUIT. Plus de 7000 espaces disponibles dont 2000 espaces souterrains. Accès facile aux fauteuils roulants.Nouveau texte de rubriqueNouveau texte de rubrique,nan,2024-05-11 21:00:00
The Australian Bee Gees Show - A Tribute To The Bee Gees,Other,2024-05-11,20:00:00,America/Toronto,Theatre du Casino du Lac-Leamy,Gatineau,Quebec,1 Blvd du Casino,45.446179,-75.725402,"L'entrée au Théâtre du Casino est réservée aux personnes âgées de 18 ans et plus. Une preuve d'âge peut vous être demandée, telle une pièce d'identité valide avec photo. Les retardataires sont admis dans la salle pendant une pause. Veuillez planifier vos déplacements. Notez que le billet est non remboursable, ni échangeable.","Il y a une limite de 11 billets pour cet événement. Pour les groupes de 12 personnes et plus, contactez le 819-772-6222.",True,nan,nan,2024-05-11 22:00:00
Brunch Gospel avec Michelle Sweeney & The Gospel Tribe,Other,2024-05-11,12:30:00,America/Toronto,Le Balcon,Montreal,Quebec,463 Sainte-Catherine Ouest,45.509192,-73.552962,Heure d'arrivée pour le brunch : entre 11h00 et midi Heure d'arrivée pour le spectacle: à partir de midi Spectacle : 12:30 Arrival time for the brunch: between 11:00 and noon Arrival time for the show: from noon Show time: 12:30 pm,No ticket limit information available,False,"Stationnement à proximité: 2020 Rue Aylmer, Montréal Tarif: 10 $ le week-end.","Les clients qui ont besoin de sièges accessibles, qui ont une déficience visuelle ou qui sont dans l'impossibilité de compléter un achat de billet en ligne, peuvent communiquer avec la salle de spectacle Le Balcon directement.",2024-05-11 14:30:00
"Best of Soul, Disco & Jazz avec BellA Forté",R&B,2024-05-11,20:30:00,America/Toronto,Le Balcon,Montreal,Quebec,463 Sainte-Catherine Ouest,45.509192,-73.552962,"Bienvenue et Welcome au cabaret ! LE BALCON cabaret chic est une salle de spectacle emblématique, située à l'intérieur de la majestueuse église Saint James, au centre-ville de Montréal. Une occasion unique de choisir votre formule : - déguster une savoureuse table d?hôte en souper-spectacle (trois services), aux premières loges, ou bien - assister au spectacle en dégustant un cocktail signature sur la mezzanine qui surplombe la scène. Ce lieu sans égal à Montréal, vous promet une soirée mémorable, intime et festive. Welcome and Bienvenue to the cabaret! The chic cabaret LE BALCON is an emblematic venue located inside the majestic Saint James Church in downtown Montreal. A unique opportunity to choose your formula: - enjoy a tasty three-course table d'hôte dinner and show (three courses), from the front row, or - enjoy the show with a signature cocktail on the mezzanine overlooking the stage. This unparalleled venue in Montreal promises a memorable, intimate and festive evening.",No ticket limit information available,False,"Stationnement à proximité: 2020 Rue Aylmer, Montréal Tarif: 10 $ le week-end.","Les clients qui ont besoin de sièges accessibles, qui ont une déficience visuelle ou qui sont dans l'impossibilité de compléter un achat de billet en ligne, peuvent communiquer avec la salle de spectacle Le Balcon directement.",2024-05-11 22:30:00
Abbamania,Other,2024-05-11,20:00:00,America/Toronto,CABARET DU CASINO DE MONTREAL,Montreal,Quebec,"1, avenue du Casino",45.5067084,-73.5259512,"LA MEZZANINE ET LE BALCON SONT ACCESSIBLES PAR ESCALIERS SEULEMENT. L'entrée au Cabaret du Casino est réservée aux personnes âgées de 18 ans et plus. Une preuve d'âge peut vous être demandée, telle une pièce d'identité valide avec photo. Les retardataires sont admis dans la salle pendant une pause. Veuillez planifier vos déplacements. Notez que le billet est non remboursable, ni échangeable.","Il y a une limite de 11 billets pour cet événement. Pour les groupes de 12 personnes et plus, contactez le 1-800-665-2274 option 6 ou le 514-499-5180.",True,nan,nan,2024-05-11 22:00:00
Jerry's Middle Finger,Rock,2024-05-11,20:00:00,America/Toronto,Velvet Underground,Toronto,Ontario,508 Queen St. W.,43.6477172,-79.4014822,nan,No ticket limit information available,False,nan,nan,2024-05-11 19:45:00
Foreigner: Farewell Canada,Rock,2024-05-11,19:30:00,America/Regina,SaskTel Centre,Saskatoon,Saskatchewan,3515 Thatcher Ave.,52.1909398,-106.6774643,nan,No ticket limit information available,False,There is ample parking located at SaskTel Centre. Preferred parking closer to the venue is available for all concerts at a premium.,"Accessible Seating: Located in sections B,F,G,H and XY. Section XY is only available for events which have a 360 view. SaskTel Centre allows one attendant seat to be purchased per disability/wheelchair seat purchased. In most sections, attendant is to sit behind wheelchair. Wheelchair seating is on the concourse level of the specific section. Attendant seats must be bought in the same row.",2024-05-11 21:30:00
IKONS - The KISS Experience ,Rock,2024-05-11,20:00:00,America/Edmonton,"The Pearl Showroom, Pure Casino Yellowhead",Edmonton,Alberta,12464 153 Street,53.579453,-113.585482,nan,No ticket limit information available,False,Free Parking Provided,"Handicap Parking Stalls, wheelchair accessibility into Pearl Showroom.",2024-05-11 22:00:00
Desire - International U2 Tribute,Other,2024-05-11,20:00:00,America/Toronto,The Studio,Hamilton,Ontario,1 Summers Lane,43.2562356,-79.8724924,"Net Capacity: 264 All persons entering a Core Entertainment venue 13 years of age and under must be accompanied by a companion 16 years of age or older. Children under the age of 2 years old, do not require a ticket but must sit on a guardian's lap. The entire floor of the venue is wheelchair accessible Reserved cabaret style seating and general admission theatre style seating is available For more information on FirstOntario Centre, FirstOntario Concert Hall, The Studio CLICK HERE!",There is an overall 8 ticket limit for this event.,False,Underground parking is available at the Theatre. Enter from Summer's Lane or King Street,Main floor of the theatre is fully accessible. Washrooms and facilities are fully accessible. Wheelchair accessible seating available through Ticketmaster or the box office.,2024-05-11 21:00:00
Battle Beast - Circus of Doom Over North America,Metal,2024-05-11,19:00:00,America/Toronto,The Opera House,Toronto,Ontario,735 Queen St. E.,43.6590002,-79.3487743,Net Capacity: 900 For more information visit Inertia Entertainment,There is an overall 8 ticket limit for this event.,False,Limited metred parking is available on Queen St. Many public pay lots also in area.,nan,2024-05-11 18:00:00
Queen - It's A Kinda Magic,Rock,2024-05-11,19:30:00,America/Toronto,The Arena at Pickering Casino Resort,Pickering,Ontario,888 Durham Live Avenue,43.84332,-79.054,"Back by popular demand! Queen: It's a Kinda Magic recreates Queen's 1986 World Tour concert, featuring over 20 of the band's greatest hits such as: We Will Rock You Bohemian Rhapsody We Are the Champions Under Pressure Fat-Bottomed Girls Painstaking attention has been paid to all the music - the iconic voice of Mercury, the amazing guitar solos of May and the groundbreaking Rock harmonies. And with state-of-the-art sound and lighting and authentic costumes, this is as close as you'll ever get to the real thing! ALL AGES WELCOME.",There is an eight (8) ticket limit per person.,False,"Free public parking is available on site, in surface lots and a covered parkade. EV charging stations and accessible parking spots are available.","The Arena at Pickering Casino Resort is fully accessible. When available, accessible seating can be purchased online at www.Ticketmaster.ca. Patrons may be dropped off at the South lobby entrance on Durham Live Avenue.",2024-05-11 21:30:00
Decapitated w/ Septicflesh,Other,2024-05-11,19:30:00,America/Winnipeg,Park Theatre - Winnipeg,Winnipeg,Manitoba,698 Osborne Street,0.0,0.0,nan,No ticket limit information available,False,nan,nan,2024-05-11 19:30:00
"ANCIIENTS w/ DEAD QUIET, QUIETUS & HYDRACAT",Metal,2024-04-05,19:00:00,America/Edmonton,The Starlite Room - Temple,Edmonton,Alberta,10030 – 102 Street,53.546218,-113.490371,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-05 19:00:00
"Lil Xan w/ Weapon X & CavemanCasanova, Rye Dylan, Dibbs Hellrazor",Hip-Hop/Rap,2024-04-05,22:00:00,America/Edmonton,Modern Love,Calgary,Alberta,613 11 Ave SW,51.042412,-114.075012,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-05 22:00:00
"Destroyer ( Kiss Tribute ), My Own Addiction",Rock,2024-04-05,19:00:00,America/Toronto,The Rockpile Bar & Nightclub,Toronto,Ontario,5555A Dundas St. West,43.62942,-79.548931,nan,No ticket limit information available,False,nan,nan,2024-04-05 21:00:00
These Eyes Release Party,Reggae,2024-04-05,22:00:00,America/Toronto,3030,Toronto,Ontario,3030 Dundas Street West,43.665879,-79.470432,nan,No ticket limit information available,False,nan,nan,2024-04-05 22:00:00
TWINSICK,Dance/Electronic,2024-04-05,22:00:00,America/Toronto,DPRTMNT,Toronto,Ontario,473 Adelaide St W,43.64647,-79.39689,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-05 22:00:00
"Tablespoons, Slowicide, Desperate End & Kids Help Fone",Rock,2024-04-05,19:00:00,America/Vancouver,The Pearl,Vancouver,British Columbia,881 Granville Street,49.280658,-123.121407,"This event is 19 and over. Any ticket holder unable to present valid identification indicating that they are at least 19 years of age will not be admitted to this event, and will not be eligible for a refund.",No ticket limit information available,True,nan,nan,2024-04-05 19:00:00
"Bona Petit w/ Moz-ART, Butta So Hot",Dance/Electronic,2024-04-05,21:00:00,America/Edmonton,The Starlite Room,Edmonton,Alberta,10030 – 102 Street,53.546218,-113.490371,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund. The Starlite Room and Temple Bar operate under the Province of Alberta's and the City of Edmonton's public health measures, restrictions and mandates. Public health measures may change without notice at any time. For a current list of these mandates please visit: https://starliteroom.ca/news/",No ticket limit information available,True,nan,nan,2024-04-05 21:00:00
The Taylor Party: The TS Dance Party,Dance/Electronic,2024-04-06,21:00:00,America/Toronto,LONDON MUSIC HALL,London,Ontario,185 Queens Avenue,42.98399,-81.2491481,nan,No ticket limit information available,False,nan,nan,2024-04-06 22:30:00
Omnom @ System Saturdays,Dance/Electronic,2024-04-06,22:00:00,America/Toronto,Rum Runners,London,Ontario,178 Dundas St,45.451756,-75.650013,nan,No ticket limit information available,False,nan,nan,2024-04-06 23:30:00
Notion,Dance/Electronic,2024-04-06,22:00:00,America/Vancouver,Village Studios,Vancouver,British Columbia,1024 Davie Street,49.27950169,-123.1299918,nan,No ticket limit information available,False,nan,nan,2024-04-06 22:00:00
Gimme Gimme Disco,Dance/Electronic,2024-04-06,22:00:00,America/Vancouver,Commodore Ballroom,Vancouver,British Columbia,868 Granville St.,49.2806462,-123.1208652,No Minors! Must be 19 & older with valid government ID to attend.,There is an overall 8 ticket limit for this event.,False,Limited street parking in the area. Pay lots are located behind the club on Seymour Street.,Accessible Seating: The Commodore Ballroom is fully wheelchair accessible. Wheelchair entrance is located at the main door. Hearing Devices: None.,2024-04-05 23:59:00
Lil Tjay - Good Life Tour,Hip-Hop/Rap,2024-04-06,20:00:00,America/Halifax,Avenir Centre,Moncton,New Brunswick,150 Canada St,46.085958,-64.784148,nan,A 6 ticket limit applies to all orders.,False,"Our venue uses a dispersed parking model which means that event-goers are encouraged to use public and private parking lots as well as on-street options throughout the downtown core. There are over 8,675 parking (combined public/private) spaces in Downtown Moncton. Within a maximum walk time of 14 minutes, there are approximately 3,300 off-street parking lot spaces available after 6pm. There are countless options for you to choose from that include both low cost and free options. To plan the option that is best for you, go to www.mybestoption.ca","The arena is fully accessible. All accessible seating is available through your local Ticketmaster location, Charge-by-Phone or the Avenir Centre Box Office. Patrons with disabilities may also go directly to the Avenir Centre Box Office to purchase their tickets. When arriving at the Avenir Centre please use the accessible drop off zone and make your way to Gate 6 where our event centre staff can guide you to your designated seat. Accessibility areas are located at the top of sections 102 to 107. Please note that there is no wheelchair or disability seating permitted on the floor, due to safety reasons. If you have a disability and purchased a ticket in error on the floor, the venue reserves the right to relocate you.",2024-04-06 21:00:00
Benson Boone: Fireworks and Rollerblades World Tour,Rock,2024-04-06,20:00:00,America/Toronto,MTELUS,Montreal,Quebec,59 Rue Sainte-Catherine Est,45.5105348,-73.563372,"En achetant des billets pour cet événement, vous acceptez de respecter les mesures de santé et de sécurité en vigueur lors de l'événement, qui peuvent inclure, notamment, le port du masque. Notez que ces règlements s'appliquent à tous les utilisateurs de billets. Directives sujettes à changement. Vérifiez régulièrement le site de la salle de votre événement. By purchasing tickets to this event, you agree to abide by the health and safety measures in effect at the time of the event, which may include, but not be limited to, wearing masks. Please note these measures will apply to all users of tickets. Guidelines are subject to change. Check your venue's website often for updates.",Il y a une limite de 4 billets pour cet événement - There is a 4 ticket limit on this event.,False,"Drivers will find a parking lot just opposite MTELUS, at the corner of Ste. Catherine and St. Dominique, as well as meter parking in the streets surrounding the venue.","Accessible tickets are for patrons in wheelchair and their companion (1) only. To purchase wheelchair tickets, please contact our box office at 1-855-219-0576 or 1-877-668-8269.",2024-04-06 22:00:00
